label,text
spam,무료 쿠폰 당첨 안내 지금 확인
spam,무료 이벤트 당첨 확인 요망
spam,무료 상품권 지급 오늘 마감
spam,경품 당첨 축하 회의 초대
spam,무료 대출 한도 즉시 조회
spam,당첨 상품 수령 계좌 입력
spam,무료 체험 신청 마감 임박
spam,특별 할인 무료 배송 이벤트
spam,당첨 번호 확인 링크 클릭
spam,무료 보험 상담 즉시 신청
spam,긴급 대출 무료 상담 가능
spam,이벤트 당첨 경품 수령 안내
spam,무료 여행 상품권 당첨 확인
spam,오늘 마감 무료 쿠폰 클릭
spam,당첨 확정 지금 링크 접속
spam,무료 포인트 지급 즉시 사용
spam,할인 쿠폰 무료 지급 마감
spam,경품 이벤트 당첨 결과 클릭
spam,무료 진단 신청 지금 접수
spam,당첨 축하 상품 배송 확인
spam,무료 강좌 등록 마감 임박
spam,특가 이벤트 무료 응모 시작
spam,당첨 경품 교환 기한 안내
spam,무료 적립금 지급 즉시 확인
spam,대출 승인 무료 조회 클릭
ham,내일 회의 자료 공유 부탁
ham,회의 일정 변경 안내 확인
ham,점심 회의 예약 완료 알림
ham,프로젝트 회의 기록 전달
ham,무료 주차 등록 안내 공지
ham,동호회 경품 당첨 결과 공지
ham,오후 회의 장소 변경 공지
ham,주간 회의 안건 정리 요청
ham,보고서 초안 검토 부탁 드림
ham,내일 점심 약속 시간 확인
ham,프로젝트 일정 공유 드립니다
ham,휴가 신청서 제출 기한 안내
ham,세미나 발표 자료 전달 드림
ham,팀 회의 시간 조정 요청
ham,계약서 검토 의견 회신 부탁
ham,출장 일정 확정 안내 드림
ham,교육 신청 마감 기한 공지
ham,월간 보고 회의 참석 요청
ham,사무실 이전 일정 안내 공지
ham,신규 입사자 소개 인사 전달
ham,분기 실적 자료 공유 드림
ham,저녁 모임 장소 예약 확인
ham,프린터 점검 일정 안내 공지
ham,연차 사용 계획 제출 요청
ham,고객 미팅 결과 공유 드림
